Used Date,From,To,Airline,Scheduled Departure,SDEP,Departure,DEP,Scheduled Arrival,SARR,Arrival,ARR,Departure Delay,Arrival Delay,Status,Distance,Passenger Load Factor,Airline Rating,Airport Rating,Market Share,OTP Index,weather__hourly__windspeedKmph,weather__hourly__weatherDesc__value,weather__hourly__precipMM,weather__hourly__humidity,weather__hourly__visibility,weather__hourly__pressure,weather__hourly__cloudcover,Category
31-01-2020,DEL,HYD,Air Asia,06:05,605,06:04,604,08:15,815,08:16,816,-1,1,1,1244,85,0.5,0.88,5.3,85.6,11,Partly cloudy,0,90,9,1012,57,0
31-01-2020,DEL,HYD,Indigo,04:50,450,04:36,436,07:00,700,06:55,655,-14,-5,1,1244,89,0.7,0.88,47.5,81.1,11,Partly cloudy,0,90,9,1012,57,0
30-01-2020,DEL,HYD,Air Asia,06:05,605,05:54,554,08:15,815,08:02,802,-11,-13,1,1244,85,0.5,0.88,5.3,85.6,11,Partly cloudy,0,90,9,1012,57,0
30-01-2020,DEL,HYD,Air Asia,17:40,1740,17:40,1740,19:55,1955,19:42,1942,0,-13,1,1244,85,0.5,0.88,5.3,85.6,11,Partly cloudy,0,90,9,1012,57,0
30-01-2020,DEL,HYD,Air Asia,19:50,1950,19:54,1954,22:10,2210,22:14,2214,4,4,1,1244,85,0.5,0.88,5.3,85.6,11,Partly cloudy,0,90,9,1012,57,1
30-01-2020,DEL,HYD,Air India,07:05,705,-1,-1,09:10,910,-1,-1,1440,1440,0,1244,80,0.5,0.88,12,64.2,11,Partly cloudy,0,90,9,1012,57,4
30-01-2020,DEL,HYD,Air India,09:45,945,09:53,953,11:55,1155,-1,1206,8,11,1,1244,80,0.5,0.88,12,64.2,11,Partly cloudy,0,90,9,1012,57,1
30-01-2020,DEL,HYD,Air India,13:15,1315,15:03,1503,15:15,1515,-1,1730,108,135,1,1244,80,0.5,0.88,12,64.2,11,Partly cloudy,0,90,9,1012,57,4
30-01-2020,DEL,HYD,Air India,17:15,1715,17:15,1715,19:25,1925,-1,1903,0,-22,1,1244,80,0.5,0.88,12,64.2,11,Partly cloudy,0,90,9,1012,57,0
30-01-2020,DEL,HYD,Air India,21:10,2110,22:02,2202,23:30,2330,-1,5,52,35,1,1244,80,0.5,0.88,12,64.2,11,Partly cloudy,0,90,9,1012,57,3
30-01-2020,DEL,HYD,Indigo,04:50,450,04:35,435,07:00,700,-1,639,-15,-21,1,1244,89,0.7,0.88,47.5,81.1,11,Partly cloudy,0,90,9,1012,57,0
30-01-2020,BLR,BOM,Indigo,04:55,455,04:55,455,06:40,640,-1,640,0,0,1,848,89,0.7,0.9,47.5,81.1,11,Partly cloudy,0,90,9,1012,57,0
30-01-2020,DEL,HYD,Indigo,06:35,635,06:27,627,08:55,855,-1,847,-8,-8,1,1244,89,0.7,0.88,47.5,81.1,11,Partly cloudy,0,90,9,1012,57,0
30-01-2020,DEL,HYD,Indigo,07:30,730,07:23,723,09:40,940,-1,936,-7,-4,1,1244,89,0.7,0.88,47.5,81.1,11,Partly cloudy,0,90,9,1012,57,0
30-01-2020,DEL,HYD,Indigo,08:35,835,08:32,832,10:50,1050,-1,1047,-3,-3,1,1244,89,0.7,0.88,47.5,81.1,11,Partly cloudy,0,90,9,1012,57,0
30-01-2020,DEL,HYD,Indigo,10:00,1000,10:01,1001,12:15,1215,-1,1224,1,9,1,1244,89,0.7,0.88,47.5,81.1,11,Partly cloudy,0,90,9,1012,57,1
30-01-2020,DEL,HYD,Indigo,14:15,1415,14:14,1414,16:30,1630,-1,1610,-1,-20,1,1244,89,0.7,0.88,47.5,81.1,11,Partly cloudy,0,90,9,1012,57,0
30-01-2020,DEL,HYD,Indigo,19:05,1905,19:02,1902,21:20,2120,-1,2121,-3,1,1,1244,89,0.7,0.88,47.5,81.1,11,Partly cloudy,0,90,9,1012,57,0
30-01-2020,DEL,HYD,Indigo,20:20,2020,20:07,2007,22:35,2235,-1,2231,-13,-4,1,1244,89,0.7,0.88,47.5,81.1,11,Partly cloudy,0,90,9,1012,57,0
30-01-2020,DEL,HYD,Indigo,21:20,2120,21:27,2127,23:30,2330,-1,2350,7,20,1,1244,89,0.7,0.88,47.5,81.1,11,Partly cloudy,0,90,9,1012,57,1
30-01-2020,DEL,HYD,Indigo,22:35,2235,22:54,2254,00:45,45,-1,59,19,14,1,1244,89,0.7,0.88,47.5,81.1,11,Partly cloudy,0,90,9,1012,57,2
30-01-2020,DEL,HYD,Spicejet,18:50,1850,18:50,1850,20:55,2055,-1,2055,0,0,1,1244,92,0.4,0.88,16.2,76.8,11,Partly cloudy,0,90,9,1012,57,0
30-01-2020,DEL,HYD,Spicejet,20:45,2045,20:40,2040,22:55,2255,-1,2242,-5,-13,1,1244,92,0.4,0.88,16.2,76.8,11,Partly cloudy,0,90,9,1012,57,0
30-01-2020,DEL,HYD,Vistara,07:05,705,06:58,658,09:25,925,-1,914,-7,-11,1,1244,82,0.8,0.88,6.1,82.9,11,Partly cloudy,0,90,9,1012,57,0
30-01-2020,DEL,HYD,Vistara,14:45,1445,14:54,1454,17:00,1700,-1,1702,9,2,1,1244,82,0.8,0.88,6.1,82.9,11,Partly cloudy,0,90,9,1012,57,1
30-01-2020,DEL,HYD,Vistara,17:35,1735,17:42,1742,19:55,1955,-1,2003,7,8,1,1244,82,0.8,0.88,6.1,82.9,11,Partly cloudy,0,90,9,1012,57,1
30-01-2020,DEL,HYD,Vistara,20:35,2035,20:46,2046,22:45,2245,-1,2248,11,3,1,1244,82,0.8,0.88,6.1,82.9,11,Partly cloudy,0,90,9,1012,57,1
29-01-2020,BOM,DEL,Air Asia,00:05,5,00:43,43,02:15,215,-1,241,38,26,1,1138,85,0.5,0.9,5.3,85.6,11,Partly cloudy,0,90,9,1012,57,3
29-01-2020,BOM,DEL,Air Asia,05:20,520,05:13,513,07:25,725,-1,710,-7,-15,1,1138,85,0.5,0.9,5.3,85.6,11,Partly cloudy,0,90,9,1012,57,0
29-01-2020,BLR,BOM,Air Asia,05:30,530,05:23,523,07:10,710,-1,710,-7,0,1,848,85,0.5,0.9,5.3,85.6,11,Partly cloudy,0,90,9,1012,57,0
29-01-2020,DEL,HYD,Air Asia,06:05,605,05:59,559,08:15,815,-1,818,-6,3,1,1244,85,0.5,0.88,5.3,85.6,11,Partly cloudy,0,90,9,1012,57,0
29-01-2020,BOM,DEL,Air Asia,08:40,840,08:29,829,10:55,1055,-1,1031,-11,-24,1,1138,85,0.5,0.9,5.3,85.6,11,Partly cloudy,0,90,9,1012,57,0
29-01-2020,BLR,BOM,Air Asia,10:50,1050,10:49,1049,12:35,1235,-1,1226,-1,-9,1,848,85,0.5,0.9,5.3,85.6,11,Partly cloudy,0,90,9,1012,57,0
29-01-2020,BOM,DEL,Air Asia,15:00,1500,15:12,1512,17:05,1705,-1,1737,12,32,1,1138,85,0.5,0.9,5.3,85.6,11,Partly cloudy,0,90,9,1012,57,1
29-01-2020,DEL,HYD,Air Asia,17:40,1740,17:42,1742,19:55,1955,-1,2024,2,29,1,1244,85,0.5,0.88,5.3,85.6,11,Partly cloudy,0,90,9,1012,57,1
29-01-2020,DEL,HYD,Air Asia,19:50,1950,19:56,1956,22:10,2210,-1,2220,6,10,1,1244,85,0.5,0.88,5.3,85.6,11,Partly cloudy,0,90,9,1012,57,1
29-01-2020,BLR,BOM,Air India,06:45,645,06:39,639,08:35,835,-1,842,-6,7,1,848,80,0.5,0.9,12,64.2,11,Partly cloudy,0,90,9,1012,57,0
29-01-2020,BOM,DEL,Air India,07:00,700,07:44,744,09:10,910,-1,948,44,38,1,1138,80,0.5,0.9,12,64.2,11,Partly cloudy,0,90,9,1012,57,3
29-01-2020,DEL,HYD,Air India,07:05,705,07:12,712,09:10,910,-1,946,7,36,1,1244,80,0.5,0.88,12,64.2,11,Partly cloudy,0,90,9,1012,57,1
29-01-2020,BOM,DEL,Air India,08:00,800,10:26,1026,10:15,1015,-1,1230,146,135,1,1138,80,0.5,0.9,12,64.2,11,Partly cloudy,0,90,9,1012,57,4
29-01-2020,BLR,BOM,Air India,08:35,835,08:48,848,10:35,1035,-1,1103,13,28,1,848,80,0.5,0.9,12,64.2,11,Partly cloudy,0,90,9,1012,57,1
29-01-2020,BOM,DEL,Air India,09:00,900,-1,-1,11:30,1130,-1,-1,1440,1440,0,1138,80,0.5,0.9,12,64.2,11,Partly cloudy,0,90,9,1012,57,4
29-01-2020,DEL,HYD,Air India,09:45,945,09:45,945,11:55,1155,-1,1203,0,8,1,1244,80,0.5,0.88,12,64.2,11,Partly cloudy,0,90,9,1012,57,0
29-01-2020,BOM,DEL,Air India,10:00,1000,11:25,1125,12:15,1215,-1,1337,85,82,1,1138,80,0.5,0.9,12,64.2,11,Partly cloudy,0,90,9,1012,57,4
29-01-2020,BOM,DEL,Air India,13:05,1305,14:49,1449,15:15,1515,-1,1725,104,130,1,1138,80,0.5,0.9,12,64.2,11,Partly cloudy,0,90,9,1012,57,4
29-01-2020,BOM,DEL,Air India,17:00,1700,17:00,1700,19:10,1910,-1,1918,0,8,1,1138,80,0.5,0.9,12,64.2,11,Partly cloudy,0,90,9,1012,57,0
29-01-2020,DEL,HYD,Air India,17:15,1715,17:46,1746,19:25,1925,-1,2041,31,76,1,1244,80,0.5,0.88,12,64.2,11,Partly cloudy,0,90,9,1012,57,3
29-01-2020,BOM,DEL,Air India,18:00,1800,-1,-1,20:25,2025,-1,-1,1440,1440,0,1138,80,0.5,0.9,12,64.2,11,Partly cloudy,0,90,9,1012,57,4
29-01-2020,BOM,DEL,Air India,19:00,1900,20:03,2003,21:15,2115,-1,2203,63,48,1,1138,80,0.5,0.9,12,64.2,11,Partly cloudy,0,90,9,1012,57,4
29-01-2020,BOM,DEL,Air India,20:00,2000,20:26,2026,22:05,2205,-1,2245,26,40,1,1138,80,0.5,0.9,12,64.2,11,Partly cloudy,0,90,9,1012,57,2
29-01-2020,BOM,DEL,Air India,21:00,2100,21:04,2104,23:15,2315,-1,2300,4,-15,1,1138,80,0.5,0.9,12,64.2,11,Partly cloudy,0,90,9,1012,57,1
29-01-2020,DEL,HYD,Air India,21:10,2110,21:52,2152,23:30,2330,-1,18,42,48,1,1244,80,0.5,0.88,12,64.2,11,Partly cloudy,0,90,9,1012,57,3
29-01-2020,BOM,DEL,Go Air,00:05,5,23:46,2346,02:15,215,-1,203,-19,-12,1,1138,90,0.3,0.9,11,87.2,11,Partly cloudy,0,90,9,1012,57,0
29-01-2020,BLR,BOM,Go Air,05:45,545,05:45,545,07:20,720,-1,729,0,9,1,848,90,0.3,0.9,11,87.2,11,Partly cloudy,0,90,9,1012,57,0
29-01-2020,BOM,DEL,Go Air,06:05,605,05:58,558,08:10,810,-1,804,-7,-6,1,1138,90,0.3,0.9,11,87.2,11,Partly cloudy,0,90,9,1012,57,0
29-01-2020,CCU,DEL,Go Air,06:05,605,-1,-1,08:30,830,-1,-1,1440,1440,0,1312,90,0.3,0.86,11,87.2,11,Partly cloudy,0,90,9,1012,57,4
29-01-2020,BOM,DEL,Go Air,08:00,800,08:06,806,10:10,1010,-1,1015,6,5,1,1138,90,0.3,0.9,11,87.2,11,Partly cloudy,0,90,9,1012,57,1
29-01-2020,BLR,BOM,Go Air,08:10,810,08:07,807,09:55,955,-1,1008,-3,13,1,848,90,0.3,0.9,11,87.2,11,Partly cloudy,0,90,9,1012,57,0
29-01-2020,BOM,DEL,Go Air,09:50,950,09:54,954,12:10,1210,-1,1158,4,-12,1,1138,90,0.3,0.9,11,87.2,11,Partly cloudy,0,90,9,1012,57,1
29-01-2020,BOM,DEL,Go Air,12:15,1215,12:24,1224,14:30,1430,-1,1442,9,12,1,1138,90,0.3,0.9,11,87.2,11,Partly cloudy,0,90,9,1012,57,1
29-01-2020,BLR,BOM,Go Air,16:25,1625,16:19,1619,18:15,1815,-1,1748,-6,-27,1,848,90,0.3,0.9,11,87.2,11,Partly cloudy,0,90,9,1012,57,0
29-01-2020,BOM,DEL,Go Air,18:30,1830,18:24,1824,20:45,2045,-1,2033,-6,-12,1,1138,90,0.3,0.9,11,87.2,11,Partly cloudy,0,90,9,1012,57,0
29-01-2020,DEL,HYD,Go Air,20:55,2055,21:09,2109,23:10,2310,-1,2334,14,24,1,1244,90,0.3,0.88,11,87.2,11,Partly cloudy,0,90,9,1012,57,1
29-01-2020,BOM,DEL,Go Air,21:15,2115,21:31,2131,23:30,2330,-1,2329,16,-1,1,1138,90,0.3,0.9,11,87.2,11,Partly cloudy,0,90,9,1012,57,2
29-01-2020,BOM,DEL,Indigo,00:50,50,01:25,125,03:05,305,-1,317,35,12,1,1138,89,0.7,0.9,47.5,81.1,11,Partly cloudy,0,90,9,1012,57,3
29-01-2020,CCU,DEL,Indigo,01:25,125,-1,-1,03:55,355,-1,-1,1440,1440,0,1312,89,0.7,0.86,47.5,81.1,11,Partly cloudy,0,90,9,1012,57,4
